n,S_obs,Q1,Q2,final_run_yield,chao2,share_seen,still_rising,query,model,industry
5,5,1,0,0.2,5.0,1.0,True,ASOS vs Zalando for fashion in Europe,gemini,ecommerce
5,5,2,1,0.4,6.6,0.7575757575757576,True,ASOS vs Zalando for fashion in Europe,openai,ecommerce
5,5,2,0,0.4,5.8,0.8620689655172414,True,ASOS vs Zalando for fashion in Europe,perplexity,ecommerce
5,8,2,1,0.4,9.6,0.8333333333333334,True,Accenture vs Deloitte vs PwC for IT consulting,gemini,consulting
4,6,0,1,0.0,6.0,1.0,False,Accenture vs Deloitte vs PwC for IT consulting,openai,consulting
5,10,4,0,0.8,14.8,0.6756756756756757,True,Accenture vs Deloitte vs PwC for IT consulting,perplexity,consulting
5,4,0,0,0.0,4.0,1.0,False,Adyen vs Stripe vs PayPal comparison,gemini,fintech
5,6,1,1,0.2,6.4,0.9375,True,Adyen vs Stripe vs PayPal comparison,perplexity,fintech
5,3,0,0,0.0,3.0,1.0,False,Ahrefs vs Moz vs Semrush for backlink analysis,gemini,saas
5,3,0,0,0.0,3.0,1.0,False,Ahrefs vs Moz vs Semrush for backlink analysis,openai,saas
5,4,1,0,0.2,4.0,1.0,True,Ahrefs vs Moz vs Semrush for backlink analysis,perplexity,saas
5,3,0,0,0.0,3.0,1.0,False,Allegro vs Amazon in Eastern Europe,gemini,ecommerce
5,4,1,1,0.2,4.4,0.9090909090909091,True,Allegro vs Amazon in Eastern Europe,openai,ecommerce
5,5,1,0,0.2,5.0,1.0,True,Allegro vs Amazon in Eastern Europe,perplexity,ecommerce
5,4,0,0,0.0,4.0,1.0,False,Amazon vs Shopify for selling online,gemini,ecommerce
5,4,1,0,0.2,4.0,1.0,True,Amazon vs Shopify for selling online,perplexity,ecommerce
4,2,0,0,0.0,2.0,1.0,False,Best CRM for real estate agents,gemini,saas
5,3,0,0,0.0,3.0,1.0,False,Best CRM for real estate agents,openai,saas
5,5,2,1,0.4,6.6,0.7575757575757576,True,Best CRM for real estate agents,perplexity,saas
5,2,0,1,0.0,2.0,1.0,False,Best EHR for small medical practices,gemini,healthtech
5,2,0,0,0.0,2.0,1.0,False,Best EHR for small medical practices,openai,healthtech
5,2,1,0,0.2,2.0,1.0,True,Best EHR for small medical practices,perplexity,healthtech
5,3,0,1,0.0,3.0,1.0,False,Best all-in-one marketing platform,gemini,saas
5,6,1,0,0.2,6.0,1.0,True,Best all-in-one marketing platform,openai,saas
5,5,2,1,0.4,6.6,0.7575757575757576,True,Best all-in-one marketing platform,perplexity,saas
5,3,1,1,0.2,3.4,0.8823529411764706,True,Best business banking app,gemini,fintech
5,6,3,0,0.6,8.4,0.7142857142857143,True,Best business banking app,openai,fintech
4,3,0,0,0.0,3.0,1.0,False,Best business banking app,perplexity,fintech
5,4,2,0,0.4,4.8,0.8333333333333334,True,Best buy now pay later service,gemini,fintech
5,4,1,0,0.2,4.0,1.0,True,Best buy now pay later service,openai,fintech
5,6,2,0,0.4,6.8,0.8823529411764706,True,Best buy now pay later service,perplexity,fintech
5,3,1,0,0.2,3.0,1.0,True,Best clinical trial management software,gemini,healthtech
5,5,2,0,0.4,5.8,0.8620689655172414,True,Best clinical trial management software,openai,healthtech
5,4,0,0,0.0,4.0,1.0,False,Best clinical trial management software,perplexity,healthtech
5,10,1,0,0.2,10.0,1.0,True,Best consulting firm for digital transformation,gemini,consulting
5,10,0,0,0.0,10.0,1.0,False,Best consulting firm for digital transformation,openai,consulting
5,13,5,1,1.0,23.0,0.5652173913043478,True,Best consulting firm for digital transformation,perplexity,consulting
5,8,0,0,0.0,8.0,1.0,False,Best consulting firm for financial advisory,gemini,consulting
5,9,0,5,0.0,9.0,1.0,False,Best consulting firm for financial advisory,openai,consulting
5,7,0,1,0.0,7.0,1.0,False,Best consulting firm for financial advisory,perplexity,consulting
5,7,0,3,0.0,7.0,1.0,False,Best consulting firm for mergers and acquisitions,gemini,consulting
5,7,0,0,0.0,7.0,1.0,False,Best consulting firm for mergers and acquisitions,openai,consulting
5,7,0,0,0.0,7.0,1.0,False,Best consulting firm for mergers and acquisitions,perplexity,consulting
5,7,0,0,0.0,7.0,1.0,False,Best consulting firm for private equity due diligence,gemini,consulting
5,8,1,0,0.2,8.0,1.0,True,Best consulting firm for private equity due diligence,openai,consulting
5,6,0,0,0.0,6.0,1.0,False,Best consulting firm for private equity due diligence,perplexity,consulting
5,10,4,0,0.8,14.8,0.6756756756756757,True,Best consulting firm for supply chain optimization,gemini,consulting
5,10,1,2,0.2,10.2,0.9803921568627452,True,Best consulting firm for supply chain optimization,openai,consulting
5,9,0,1,0.0,9.0,1.0,False,Best consulting firm for supply chain optimization,perplexity,consulting
5,7,0,1,0.0,7.0,1.0,False,Best consulting firm for sustainability strategy,gemini,consulting
5,9,0,0,0.0,9.0,1.0,False,Best consulting firm for sustainability strategy,openai,consulting
5,10,0,1,0.0,10.0,1.0,False,Best consulting firm for sustainability strategy,perplexity,consulting
5,9,1,2,0.2,9.2,0.9782608695652175,True,Best consulting firm for the public sector,gemini,consulting
5,9,0,0,0.0,9.0,1.0,False,Best consulting firm for the public sector,openai,consulting
5,10,4,2,0.8,13.2,0.7575757575757576,True,Best consulting firm for the public sector,perplexity,consulting
5,3,1,1,0.2,3.4,0.8823529411764706,True,Best dropshipping platform,gemini,ecommerce
5,3,1,0,0.2,3.0,1.0,True,Best dropshipping platform,openai,ecommerce
5,4,1,0,0.2,4.0,1.0,True,Best dropshipping platform,perplexity,ecommerce
5,5,2,1,0.4,6.6,0.7575757575757576,True,Best e-commerce platform for B2B,gemini,ecommerce
5,4,1,1,0.2,4.4,0.9090909090909091,True,Best e-commerce platform for B2B,openai,ecommerce
5,3,0,0,0.0,3.0,1.0,False,Best e-commerce platform for B2B,perplexity,ecommerce
5,2,0,0,0.0,2.0,1.0,False,Best e-commerce platform for headless commerce,gemini,ecommerce
5,4,0,1,0.0,4.0,1.0,False,Best e-commerce platform for headless commerce,openai,ecommerce
5,4,0,0,0.0,4.0,1.0,False,Best e-commerce platform for headless commerce,perplexity,ecommerce
5,4,0,1,0.0,4.0,1.0,False,Best enterprise CRM platform,gemini,saas
5,5,0,2,0.0,5.0,1.0,False,Best enterprise CRM platform,openai,saas
5,5,1,0,0.2,5.0,1.0,True,Best enterprise CRM platform,perplexity,saas
5,4,0,1,0.0,4.0,1.0,False,Best health tech for pharmaceutical companies,gemini,healthtech
5,3,1,0,0.2,3.0,1.0,True,Best health tech for pharmaceutical companies,perplexity,healthtech
5,5,2,1,0.4,6.6,0.7575757575757576,True,Best health technology for life sciences,gemini,healthtech
5,2,1,0,0.2,2.0,1.0,True,Best health technology for life sciences,perplexity,healthtech
5,3,0,0,0.0,3.0,1.0,False,Best marketing automation platform for B2B,gemini,saas
5,4,0,0,0.0,4.0,1.0,False,Best marketing automation platform for B2B,openai,saas
5,4,0,1,0.0,4.0,1.0,False,Best marketing automation platform for B2B,perplexity,saas
5,4,1,0,0.2,4.0,1.0,True,Best medical imaging technology company,gemini,healthtech
5,3,1,0,0.2,3.0,1.0,True,Best medical imaging technology company,openai,healthtech
5,4,1,1,0.2,4.4,0.9090909090909091,True,Best medical imaging technology company,perplexity,healthtech
5,3,0,0,0.0,3.0,1.0,False,Best money transfer service for international payments,gemini,fintech
5,3,0,0,0.0,3.0,1.0,False,Best money transfer service for international payments,openai,fintech
