query,model,A1,A2,A3,A4,A5
ASOS vs Zalando for fashion in Europe,gemini,4.0,4.4,4.6,4.8,5.0
ASOS vs Zalando for fashion in Europe,openai,2.8,3.5,4.1,4.6,5.0
ASOS vs Zalando for fashion in Europe,perplexity,3.4,3.8,4.2,4.6,5.0
Accenture vs Deloitte vs PwC for IT consulting,gemini,5.8,6.5,7.1,7.6,8.0
Accenture vs Deloitte vs PwC for IT consulting,openai,5.25,5.833333333333333,6.0,6.0,
Accenture vs Deloitte vs PwC for IT consulting,perplexity,6.6,7.6,8.4,9.2,10.0
Adyen vs Stripe vs PayPal comparison,gemini,4.0,4.0,4.0,4.0,4.0
Adyen vs Stripe vs PayPal comparison,perplexity,4.2,5.0,5.5,5.8,6.0
Ahrefs vs Moz vs Semrush for backlink analysis,gemini,3.0,3.0,3.0,3.0,3.0
Ahrefs vs Moz vs Semrush for backlink analysis,openai,3.0,3.0,3.0,3.0,3.0
Ahrefs vs Moz vs Semrush for backlink analysis,perplexity,3.2,3.4,3.6,3.8,4.0
Allegro vs Amazon in Eastern Europe,gemini,2.8,3.0,3.0,3.0,3.0
Allegro vs Amazon in Eastern Europe,openai,2.6,3.1,3.5,3.8,4.0
Allegro vs Amazon in Eastern Europe,perplexity,3.8,4.4,4.6,4.8,5.0
Amazon vs Shopify for selling online,gemini,3.6,3.9,4.0,4.0,4.0
Amazon vs Shopify for selling online,perplexity,3.2,3.4,3.6,3.8,4.0
Best CRM for real estate agents,gemini,1.5,2.0,2.0,2.0,
Best CRM for real estate agents,openai,2.6,3.0,3.0,3.0,3.0
Best CRM for real estate agents,perplexity,2.8,3.5,4.1,4.6,5.0
Best EHR for small medical practices,gemini,1.2,1.7,1.9,2.0,2.0
Best EHR for small medical practices,openai,1.8,2.0,2.0,2.0,2.0
Best EHR for small medical practices,perplexity,1.2,1.4,1.6,1.8,2.0
Best all-in-one marketing platform,gemini,2.4,2.7,2.9,3.0,3.0
Best all-in-one marketing platform,openai,4.0,5.1,5.6,5.8,6.0
Best all-in-one marketing platform,perplexity,2.8,3.5,4.1,4.6,5.0
Best business banking app,gemini,1.6,2.1,2.5,2.8,3.0
Best business banking app,openai,2.5999999999999996,4.0,4.8,5.4,6.0
Best business banking app,perplexity,2.25,3.0,3.0,3.0,
Best buy now pay later service,gemini,2.4,2.8,3.2,3.6,4.0
Best buy now pay later service,openai,2.5999999999999996,3.3,3.6,3.8,4.0
Best buy now pay later service,perplexity,4.0,4.7,5.2,5.6,6.0
Best clinical trial management software,gemini,2.2,2.4,2.6,2.8,3.0
Best clinical trial management software,openai,2.8,3.7,4.2,4.6,5.0
Best clinical trial management software,perplexity,3.4,3.9,4.0,4.0,4.0
Best consulting firm for digital transformation,gemini,8.6,9.3,9.6,9.8,10.0
Best consulting firm for digital transformation,openai,9.0,9.9,10.0,10.0,10.0
Best consulting firm for digital transformation,perplexity,7.8,9.7,10.9,12.0,13.0
Best consulting firm for financial advisory,gemini,7.8,8.0,8.0,8.0,8.0
Best consulting firm for financial advisory,openai,6.0,7.5,8.5,9.0,9.0
Best consulting firm for financial advisory,perplexity,5.8,6.6,6.9,7.0,7.0
Best consulting firm for mergers and acquisitions,gemini,5.2,6.1,6.7,7.0,7.0
Best consulting firm for mergers and acquisitions,openai,7.0,7.0,7.0,7.0,7.0
Best consulting firm for mergers and acquisitions,perplexity,6.6,7.0,7.0,7.0,7.0
Best consulting firm for private equity due diligence,gemini,6.0,6.8,7.0,7.0,7.0
Best consulting firm for private equity due diligence,openai,7.2,7.4,7.6,7.8,8.0
Best consulting firm for private equity due diligence,perplexity,5.4,6.0,6.0,6.0,6.0
Best consulting firm for supply chain optimization,gemini,6.4,7.5,8.4,9.2,10.0
Best consulting firm for supply chain optimization,openai,8.0,8.8,9.4,9.8,10.0
Best consulting firm for supply chain optimization,perplexity,8.0,8.7,8.9,9.0,9.0
Best consulting firm for sustainability strategy,gemini,5.8,6.6,6.9,7.0,7.0
Best consulting firm for sustainability strategy,openai,8.6,8.9,9.0,9.0,9.0
Best consulting firm for sustainability strategy,perplexity,8.2,9.5,9.9,10.0,10.0
Best consulting firm for the public sector,gemini,6.6,7.7,8.4,8.8,9.0
Best consulting firm for the public sector,openai,9.0,9.0,9.0,9.0,9.0
Best consulting firm for the public sector,perplexity,5.3999999999999995,7.0,8.2,9.2,10.0
Best dropshipping platform,gemini,1.6,2.1,2.5,2.8,3.0
Best dropshipping platform,openai,2.0,2.4,2.6,2.8,3.0
Best dropshipping platform,perplexity,2.8,3.4,3.6,3.8,4.0
Best e-commerce platform for B2B,gemini,2.8,3.5,4.1,4.6,5.0
Best e-commerce platform for B2B,openai,2.6,3.1,3.5,3.8,4.0
Best e-commerce platform for B2B,perplexity,2.6,2.9,3.0,3.0,3.0
Best e-commerce platform for headless commerce,gemini,1.8,2.0,2.0,2.0,2.0
Best e-commerce platform for headless commerce,openai,2.8,3.6,3.9,4.0,4.0
Best e-commerce platform for headless commerce,perplexity,3.8,4.0,4.0,4.0,4.0
Best enterprise CRM platform,gemini,3.0,3.6,3.9,4.0,4.0
Best enterprise CRM platform,openai,3.8,4.4,4.8,5.0,5.0
Best enterprise CRM platform,perplexity,3.0,4.1,4.6,4.8,5.0
Best health tech for pharmaceutical companies,gemini,2.2,3.4,3.9,4.0,4.0
Best health tech for pharmaceutical companies,perplexity,2.0,2.4,2.6,2.8,3.0
Best health technology for life sciences,gemini,2.0,3.3,4.1,4.6,5.0
Best health technology for life sciences,perplexity,1.2,1.4,1.6,1.8,2.0
Best marketing automation platform for B2B,gemini,2.6,2.9,3.0,3.0,3.0
Best marketing automation platform for B2B,openai,3.6,4.0,4.0,4.0,4.0
Best marketing automation platform for B2B,perplexity,3.4,3.7,3.9,4.0,4.0
Best medical imaging technology company,gemini,3.2,3.4,3.6,3.8,4.0
Best medical imaging technology company,openai,2.2,2.4,2.6,2.8,3.0
Best medical imaging technology company,perplexity,2.2,3.1,3.5,3.8,4.0
Best money transfer service for international payments,gemini,2.6,2.9,3.0,3.0,3.0
Best money transfer service for international payments,openai,3.0,3.0,3.0,3.0,3.0
Best money transfer service for international payments,perplexity,3.4,3.9,4.0,4.0,4.0
Best online fashion retailer,gemini,2.0,2.0,2.0,2.0,2.0
Best online fashion retailer,openai,4.0,4.4,4.6,4.8,5.0
Best online fashion retailer,perplexity,1.0,1.0,1.0,1.0,
Best online marketplace for fashion,gemini,2.2,2.8,3.2,3.6,4.0
Best online marketplace for fashion,openai,4.0,4.4,4.6,4.8,5.0
Best online marketplace for fashion,perplexity,3.2,3.4,3.6,3.8,4.0
Best payment infrastructure provider,gemini,4.6,5.3,5.6,5.8,6.0
Best payment infrastructure provider,openai,5.0,6.0,6.5,6.8,7.0
Best payment infrastructure provider,perplexity,4.0,5.3,5.8,6.0,6.0
Best payment processor for SaaS companies,gemini,2.0,2.0,2.0,2.0,2.0
Best payment processor for SaaS companies,openai,4.4,4.9,5.0,5.0,5.0
Best payment processor for SaaS companies,perplexity,4.0,5.4,5.9,6.0,6.0
